Postcode,Average rent per month
BR1,1428
BR2,1604.25
BR3,1273
BR4,1490.25
BR5,1367.5
BR6,1305.4
BR7,1727.5
BR8,
CM13,
CM14,
CM22,
CM23,
CM24,
CR0,1168.5
CR2,1137
CR3,
CR4,1262
CR44,
CR5,1428.5
CR6,
CR7,1130.666667
CR8,1164.166667
CR9,
CR90,
DA1,912.75
DA14,1261
DA15,1370.75
DA16,1292.25
DA17,1089.666667
DA18,1212
DA5,1448.75
DA6,1030.5
DA7,1399.666667
DA8,1045
E1,1844.833333
E10,1366
E11,1302.5
E12,1420.75
E13,1232
E14,1767
E15,1356.5
E16,1716
E17,1451.6
E18,1667.75
E1W,2360.8
E2,1927.833333
E20,1780
E3,1604.5
E4,1387.75
E5,1769.2
E6,1475.5
E7,1441
E77,
E8,1984.8
E9,1991
E98,
EC1A,
EC1M,
EC1N,
EC1P,
EC1R,
EC1V,1943
EC1Y,
EC2A,2459
EC2M,
EC2N,
EC2P,
EC2R,
EC2V,
EC2Y,
EC3A,
EC3B,
EC3M,
EC3N,
EC3P,
EC3R,
EC3V,
EC4A,
EC4M,
EC4N,
EC4P,
EC4R,
EC4V,
EC4Y,
EC50,
EC88,
EN1,1334.8
EN2,1349.8
EN3,1333
EN4,1570.25
EN5,1443.4
EN6,
EN7,
EN8,
EN9,
HA0,1505.6
HA1,1213.5
HA2,1301
HA3,1218.833333
HA4,1305
HA5,1558.25
HA6,1460.4
HA7,1708.75
HA8,1598.75
HA9,1332.5
IG1,1357.166667
IG11,1243.833333
IG2,1371.8
IG3,1293.2
IG4,1235
IG5,1258.5
IG6,1421.5
IG7,1259
IG8,1483
IG9,
KT1,1320
KT17,
KT18,
KT19,
KT2,1519.6
KT22,
KT3,1592.25
KT4,1438.75
KT5,1272.666667
KT6,1446.8
KT7,
KT8,
KT9,1056
N1,2291.2
N10,1675.75
N11,1563.25
N12,1546.8
N13,1408.75
N14,1652.25
N15,1659.333333
N16,1856.2
N17,1116
N18,1215.333333
N19,1564.25
N1C,
N1P,
N2,1717
N20,1710.25
N21,1330
N22,1530
N3,1557.4
N4,1530
N5,2704.666667
N6,1589.5
N7,2082
N8,2031
N81,
N9,1301.6
NW1,2605.6
NW10,1429.833333
NW11,
NW1W,
NW2,1423.833333
NW26,
NW3,2851
NW4,1294.25
NW5,1570.5
NW6,1772.2
NW7,1766.25
NW8,2389
NW9,1276.5
RM1,1145.6
RM10,964.5
RM11,1433.5
RM12,1188.8
RM13,1233.25
RM14,1640.666667
RM15,
RM2,1183
RM3,1233.75
RM4,
RM5,1106.333333
RM50,
RM6,1027.25
RM7,1150
RM8,1290
RM9,1150.333333
SE1,1926.25
SE10,1785
SE11,2116.25
SE12,1471.75
SE13,1531.4
SE14,1426.333333
SE15,1633.2
SE16,1931.5
SE17,1772.75
SE18,1216.5
SE19,1342
SE1P,
SE2,1102.25
SE20,1107.25
SE21,2078.75
SE22,1768.6
SE23,1398.4
SE24,2130.5
SE25,975.6
SE26,1450.6
SE27,1259.5
SE28,1150
SE3,1585.8
SE4,1194.5
SE5,1654.4
SE6,1163.166667
SE7,1373.4
SE8,1176.6
SE9,1342.2
SE99,
SM1,1249.2
SM2,1278.4
SM3,1158
SM4,1525.25
SM5,1141.666667
SM6,1232.2
SM7,
SW10,2256
SW11,2107.2
SW12,2070.4
SW13,2347.2
SW14,2045.6
SW15,2007.6
SW16,1260.5
SW17,1674.6
SW18,2147.75
SW19,1646.5
SW1A,
SW1E,4034
SW1H,
SW1P,2415.75
SW1V,3129.6
SW1W,4943.4
SW1X,5289.5
SW1Y,
SW2,1997.25
SW20,1989.25
SW3,4253.4
SW4,2081
SW5,3124.6
SW6,2492.4
SW7,4016.6
SW8,2250.8
SW9,1938
SW95,
SW99,
TN14,
TN16,1634
TW1,1943.4
TW10,2357.5
TW11,1271.5
TW12,1381
TW13,1182.6
TW14,1212
TW15,
TW19,
TW2,1480.6
TW3,1209.666667
TW4,1295.6
TW5,1158.833333
TW6,
TW7,1276.833333
TW8,1678.8
TW9,1920
UB1,1354
UB10,1182.5
UB11,
UB18,
UB2,1076.5
UB3,1282.75
UB4,1098.75
UB5,1256
UB6,1298.8
UB7,1282.4
UB8,1178.833333
UB9,1334.5
W1,
W10,3064.25
W11,3858.4
W12,2113.4
W13,1497.666667
W14,2528
W1A,
W1B,
W1C,
W1D,
W1F,
W1G,
W1H,2481
W1J,
W1K,
W1M,
W1N,
W1P,
W1R,
W1S,
W1T,1789
W1U,3153.75
W1V,
W1W,2611
W1X,
W1Y,
W2,3703.6
W3,1763.6
W4,1859.833333
W5,1644.166667
W6,2187.8
W7,1634.5
W8,3854.6
W9,2285
WC1A,2186
WC1B,2623
WC1E,2948.333333
WC1H,1437
WC1N,
WC1R,
WC1V,
WC1X,
WC2A,
WC2B,
WC2E,
WC2H,
WC2N,
WC2R,
WC99,
WD2,
WD23,
WD3,
WD6,
